Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62691,KNAGE123185168626,K23067,"$19,475.00 ",2008,KIA,OPTIMA,0,CONVERSION - DO NOT USE,11/8/2008 0:00,New Vehicle,Finance,"$19,475.00 "
62702,2D4GV57286H203715,K27909A,"$10,000.00 ",2006,DODGE,MAGNUM,128922,HEARTLAND CREDIT UNION,5/10/2013 0:00,Used Vehicle,Finance,"$10,000.00 "
62704,2D4RN3D13AR440222,21518,"$25,995.00 ",2010,DODGE TRUCK,GRAND CARAVAN,100000,CONVERSION - DO NOT USE,9/6/2010 0:00,New Vehicle,Cash,"$25,995.00 "
62704,KNADN4A39E6339246,K28330,"$17,845.00 ",2014,KIA,RIO,0,CAPITAL ONE AUTO FINANCE,4/4/2014 0:00,New Vehicle,Finance,"$17,845.00 "
62666,3C4PDCAB6ET152685,25544,"$20,685.00 ",2014,DODGE TRUCK,JOURNEY,0,CHRYSLER CAPITAL,5/17/2014 0:00,New Vehicle,Finance,"$20,685.00 "
62684-8474,KNADE223596505190,35039A,"$10,997.00 ",2009,KIA,RIO,0,CONVERSION - DO NOT USE,5/13/2010 0:00,Used Vehicle,Cash,"$10,997.00 "
62531,3C4PDCBG3CT256669,23327,"$28,273.00 ",2012,DODGE TRUCK,JOURNEY,0,CEFCU,3/1/2012 0:00,New Vehicle,Finance,"$28,273.00 "
62673-8601,1C4RDJAG4HC611303,27007M,"$36,585.00 ",2017,DODGE,DURANGO (3.6L),0,,12/7/2017 0:00,New Vehicle,Cash,"$31,000.00 "
62049,4A4AP3AU8FE048028,36708,"$20,499.00 ",2015,MITSUBISHI,OUTLANDER SPORT,0,HEARTLAND CREDIT UNION,4/27/2016 0:00,New Vehicle,Finance,"$20,499.00 "
62711,JF2SH6BC4AG797956,29474A,"$12,990.00 ",2010,SUBARU,FORESTER,0,,1/15/2018 0:00,Used Vehicle,Cash,"$11,609.00 "
62378-1156,JF1GPAA69DH201377,43920,"$21,122.00 ",2013,SUBARU,IMPREZA WAGON,60017,CONVERSION - DO NOT USE,9/11/2012 0:00,New Vehicle,Cash,"$21,122.00 "
62711,KNDPC3A25D7433365,K27940,"$26,835.00 ",2013,KIA,SPORTAGE,0,CONVERSION - DO NOT USE,5/1/2013 0:00,New Vehicle,Cash,"$26,835.00 "
62711,1C4SDJET8CC106088,23043,"$46,635.00 ",2012,DODGE TRUCK,DURANGO,45000,CONVERSION - DO NOT USE,2/29/2012 0:00,New Vehicle,Lease,"$43,424.00 "
62704-1247,2B3KA33V59H513351,20144,"$26,860.00 ",2009,DODGE,CHARGER,0,US BANK NA,5/26/2009 0:00,New Vehicle,Cash,"$26,860.00 "
62346,KNAFX4A8XG5475120,K29021,"$21,425.00 ",2016,KIA,FORTE,100000,KIA MOTORS FINANCE,1/10/2017 0:00,New Vehicle,Finance,"$17,999.00 "
62613,1N6AD06U55C424909,K28739A,"$11,004.57 ",2005,NISSAN TRUCK,FRONTIER 2WD,0,CONVERSION - DO NOT USE,8/4/2015 0:00,Used Vehicle,Cash,"$11,004.57 "
62703,JM1GJ1W5XG1417084,26959B,"$25,996.00 ",2016,MAZDA,MAZDA6,0,PNC BANK NA,3/8/2016 0:00,Used Vehicle,Finance,"$25,996.00 "
