Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62702-3468,KNAFK4A66E5066042,K28238A,"$18,315.00 ",2014,KIA,FORTE,100391,HEARTLAND CREDIT UNION,11/16/2013 0:00,Used Vehicle,Finance,"$17,200.00 "
62704,3C4PDCAB3HT601812,29220,"$22,339.00 ",2017,DODGE,JOURNEY (2.4L),100000,,3/11/2017 0:00,New Vehicle,Cash,"$22,025.00 "
62711-7293,4S3BMCC6XC3018572,43784,"$23,500.00 ",2012,SUBARU,LEGACY 2.5I,48000,CONVERSION - DO NOT USE,5/19/2012 0:00,Used Vehicle,Cash,"$23,500.00 "
62563,3C4PDCAB2HT602126,29320,"$24,680.00 ",2017,DODGE,JOURNEY,0,ALLY FINANCIAL,4/14/2017 0:00,New Vehicle,Finance,"$24,680.00 "
62668,5XYKT3A16DG361547,44718B,"$18,994.00 ",2013,KIA,SORENTO,0,HEARTLAND CREDIT UNION,5/16/2015 0:00,Used Vehicle,Finance,"$18,994.00 "
62704-3288,1C6RR7JTXGS378802,27953,"$49,364.00 ",2016,DODGE TRUCK,RAM 1500,0,PNC BANK NA,11/19/2016 0:00,New Vehicle,Finance,"$45,407.00 "
62558,2D4GP44L77R115168,21354A,"$15,000.00 ",2007,DODGE,GRAND CARAVAN,0,CONVERSION - DO NOT USE,6/28/2010 0:00,Used Vehicle,Cash,"$15,000.00 "
62704-4629,4S4BSBNCXF3264833,44648,"$34,420.00 ",2015,SUBARU,OUTBACK,0,CONVERSION - DO NOT USE,11/24/2014 0:00,Used Vehicle,Cash,"$34,420.00 "
61925-8400,4S4BSENC1J3318868,46083,"$38,870.00 ",2018,SUBARU,OUTBACK,0,JP MORGAN CHASE BANK NA,3/10/2018 0:00,Used Vehicle,Finance,"$36,000.00 "
62703,3C4PDCBB9KT756211,2178,"$26,729.00 ",2019,DODGE,JOURNEY,75000,CHRYSLER CAPITAL,7/20/2019 0:00,New Vehicle,Finance,"$26,729.00 "
62675,5XYPH4A57KG465672,K200022,"$36,834.00 ",2019,KIA,SORENTO,99988,HEARTLAND CREDIT UNION,7/19/2018 0:00,New Vehicle,Finance,"$36,834.00 "
62663-0024,JF1GPAR65CH203758,43779,"$22,241.00 ",2012,SUBARU,IMPREZA WAGON,0,CEFCU,12/17/2011 0:00,New Vehicle,Finance,"$22,241.00 "
62704-4334,JF2GPAKC7G8256074,45137,"$25,406.00 ",2016,SUBARU,CROSSTREK,0,JP MORGAN CHASE BANK NA,3/14/2016 0:00,Used Vehicle,Finance,"$25,406.00 "
62704-3666,4S4BRCDC9E3213907,44108,"$29,643.00 ",2014,SUBARU,OUTBACK 2.5I,0,1st MID AMERICA,8/14/2013 0:00,Used Vehicle,Finance,"$29,643.00 "
62704,4S4BSANC5J3208222,45787,"$36,531.00 ",2018,SUBARU,OUTBACK,0,,8/29/2017 0:00,New Vehicle,Cash,"$33,500.00 "
62712,4S4WMAFD2K3473328,5365,"$37,486.00 ",2019,SUBARU,ASCENT,75000,JP MORGAN CHASE BANK NA,6/27/2019 0:00,New Vehicle,Finance,"$34,715.00 "
62703-4604,1C6RR7FT1ES216272,25223,"$32,490.00 ",2014,DODGE TRUCK,RAM 1500,0,HEARTLAND,3/31/2014 0:00,New Vehicle,Finance,"$32,490.00 "
62626,KNAGM4A79B5177431,K26047,"$22,410.00 ",2011,KIA,OPTIMA,0,CONVERSION - DO NOT USE,11/1/2011 0:00,New Vehicle,Finance,"$22,410.00 "
62568-1306,KNDMC5C12F6056859,K28737,"$33,535.00 ",2015,KIA,SEDONA,0,KIA MOTORS FINANCE,6/26/2015 0:00,Used Vehicle,Finance,"$33,535.00 "
62702,3C6UR5NJ7JG105760,29501,"$59,720.00 ",2018,RAM,2500,75000,CEFCU,11/21/2017 0:00,New Vehicle,Finance,"$59,720.00 "
62703,2C4RDGBG4HR606918,29091,"$29,785.00 ",2017,DODGE,GRAND CARAVAN,75000,ILLINOIS EDUCATORS CREDIT UNION,4/24/2017 0:00,New Vehicle,Finance,"$29,240.00 "
62707-9753,3KPFK4A70HE030254,K29312,"$18,834.00 ",2017,KIA,FORTE,100000,CEFCU,3/25/2017 0:00,Used Vehicle,Finance,"$18,834.00 "
62703-3913,KNDJN2A27H7882286,K29363,"$18,989.00 ",2017,KIA,SOUL,75000,KIA MOTORS FINANCE,8/31/2017 0:00,Used Vehicle,Finance,"$18,989.00 "
62075-1519,5XYPGDA58GG178108,K29509A,"$23,025.00 ",2016,KIA,SORENTO,75000,CITIZENS ONE AUTO FINANCE,3/21/2017 0:00,Used Vehicle,Finance,"$23,299.00 "
62677-3932,3C6UR5NJ0FG604018,88610,"$46,990.00 ",2015,RAM,2500 (6.4L),75000,,4/25/2017 0:00,Used Vehicle,Cash,"$46,990.00 "
62033-1411,4S3BNAH60J3027661,46016,"$29,118.00 ",2018,SUBARU,LEGACY,75000,JP MORGAN CHASE BANK NA,5/25/2018 0:00,Used Vehicle,Finance,"$26,456.00 "
62650,JF2SJADC0FH475093,44525,"$27,016.00 ",2015,SUBARU,FORESTER,0,BMO HARRIS BANK NA,8/27/2014 0:00,New Vehicle,Finance,"$27,016.00 "
62712,5XYPHDA59KG465656,K3001,"$38,585.00 ",2019,KIA,SORENTO,0,,7/31/2018 0:00,New Vehicle,Cash,"$36,500.00 "
62546,JF2SKAJC2KH527741,5334,"$30,851.00 ",2019,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,5/29/2019 0:00,New Vehicle,Finance,"$29,509.00 "
62704-3335,2C4RC1BG9HR569512,88682,"$29,990.00 ",2017,CHRYSLER,PACIFICA,0,HEARTLAND CREDIT UNION,7/17/2017 0:00,Used Vehicle,Finance,"$27,820.00 "
62691-8158,3C6UR5DL1EG318504,88921,"$39,990.00 ",2014,RAM,2500,0,CAPITAL ONE AUTO FINANCE,7/7/2018 0:00,Used Vehicle,Finance,"$39,990.00 "
62711,1C6RR7GT7FS568255,2029A,"$41,162.00 ",2015,RAM,1500,0,CONVERSION - DO NOT USE,9/22/2015 0:00,Used Vehicle,Finance,"$41,162.00 "
62692-1173,2C4RDGCG9ER458811,25736,"$29,480.00 ",2014,DODGE,GRAND CARAVAN (3.6L),0,CHRYSLER CAPITAL,8/25/2014 0:00,New Vehicle,Finance,"$29,480.00 "
62615,1C6RR7NMXFS615578,26669,"$53,175.00 ",2015,DODGE TRUCK,RAM 1500,75000,CONVERSION - DO NOT USE,4/24/2015 0:00,New Vehicle,Finance,"$53,175.00 "
62702-1701,1C6RR6KT2DS615139,29235A,"$36,200.00 ",2013,RAM,1500,75000,HEARTLAND,4/19/2013 0:00,Used Vehicle,Finance,"$36,200.00 "
62704,JF1GJAD67DH019545,5227A,"$14,990.00 ",2013,SUBARU,IMPREZA,75000,HEARTLAND CREDIT UNION,5/24/2019 0:00,Used Vehicle,Finance,"$13,300.00 "
62650-6262,4S4BSBFC9G3335259,45240,"$30,749.00 ",2016,SUBARU,OUTBACK,0,CONVERSION - DO NOT USE,6/18/2016 0:00,Used Vehicle,Cash,"$29,631.00 "
62702-4422,2C3CDXBG1EH360082,25790,"$30,714.00 ",2014,DODGE,CHARGER,0,CAPITAL ONE AUTO FINANCE,1/31/2015 0:00,New Vehicle,Finance,"$30,714.00 "
62568-7822,5XYKT4A63EG512976,K28237,"$25,565.00 ",2014,KIA,SORENTO,0,CONVERSION - DO NOT USE,2/21/2014 0:00,New Vehicle,Finance,"$25,565.00 "
62670-6666,3VWJP7AT4EM600829,44580A,"$18,041.00 ",2014,VOLKSWAGEN,BEETLE COUPE,80319,SOY CAPITAL BANK & TRUST,10/2/2014 0:00,Used Vehicle,Finance,"$18,041.00 "
62650,KNDJP3A56F7207097,K3190A,"$20,630.00 ",2015,KIA,SOUL,0,KIA MOTORS FINANCE,7/29/2015 0:00,Used Vehicle,Finance,"$20,630.00 "
62704-2303,4S4BRBAC6E3328334,44464,"$25,053.00 ",2014,SUBARU,OUTBACK WAGON,0,JP MORGAN CHASE BANK NA,7/7/2014 0:00,New Vehicle,Finance,"$25,053.00 "
62521-5249,KNDMB5C10H6330940,88870,"$23,990.00 ",2017,KIA,SEDONA,0,TIDEWATER FINANCE COMPANY,6/16/2018 0:00,Used Vehicle,Finance,"$22,980.00 "
62711-9447,KNDMC5C19F6047298,K28695,"$35,098.00 ",2015,KIA,SEDONA,0,KIA MOTORS FINANCE,9/19/2015 0:00,Used Vehicle,Finance,"$35,098.00 "
62650,JF2SHBDCXCH432975,43826,"$26,530.00 ",2012,SUBARU,FORESTER,0,CONVERSION - DO NOT USE,8/4/2012 0:00,New Vehicle,Cash,"$26,530.00 "
62703-3030,KNAFK4A60G5519557,K29046,"$19,040.00 ",2016,KIA,FORTE,100000,CHRYSLER CAPITAL,12/10/2016 0:00,Used Vehicle,Finance,"$17,955.00 "
62629-2005,JF2SJAFC0GH563804,45233,"$29,045.00 ",2016,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,6/30/2016 0:00,Used Vehicle,Finance,"$26,926.00 "
62704,JF1GJAD69CH008108,K29681A,"$11,990.00 ",2012,SUBARU,IMPREZA,36000,,11/10/2018 0:00,Used Vehicle,Cash,"$10,899.00 "
62703,1C4NJDEB7ED521382,K29014A,"$14,773.00 ",2014,JEEP,COMPASS (2.4L),0,CEFCU,5/26/2016 0:00,Used Vehicle,Finance,"$14,773.00 "
62650-2699,4S4BRCKCXC3289667,43858,"$28,857.00 ",2012,SUBARU,OUTBACK 2.5I,0,JP MORGAN CHASE BANK NA,5/5/2012 0:00,Used Vehicle,Finance,"$28,857.00 "
62080,KNDJP3A59K7647289,K3004,"$22,079.00 ",2019,KIA,SOUL,100000,CAPITAL ONE AUTO FINANCE,10/20/2018 0:00,New Vehicle,Finance,"$20,599.00 "
62704,5XYPH4A53HG202197,K29092,"$34,820.00 ",2017,KIA,SORENTO,100000,KIA MOTORS FINANCE,12/16/2016 0:00,Used Vehicle,Finance,"$33,988.00 "
62650,4S4BSAHC2H3390631,45746,"$32,611.00 ",2017,SUBARU,OUTBACK,0,JP MORGAN CHASE BANK NA,7/7/2017 0:00,New Vehicle,Finance,"$30,236.00 "
62693-7514,1FMCU0GX1EUD09248,29019A,"$18,990.00 ",2014,FORD,ESCAPE,36000,CEFCU,7/19/2017 0:00,Used Vehicle,Finance,"$16,350.00 "
62629-1436,3C4PDCBB1KT836473,2258,"$27,379.00 ",2019,DODGE,JOURNEY,75000,ILLINOIS EDUCATORS CREDIT UNION,8/31/2019 0:00,New Vehicle,Finance,"$27,379.00 "
62703-3437,5XYKUDA27BG088093,K25637,"$32,800.00 ",2011,KIA,SORENTO,0,US BANK NA,10/30/2010 0:00,Used Vehicle,Finance,"$32,800.00 "
62558-4713,4S4BSANC1H3258447,45388,"$35,882.00 ",2017,SUBARU,OUTBACK,100000,JP MORGAN CHASE BANK NA,10/8/2016 0:00,Used Vehicle,Finance,"$33,283.00 "
62703-4939,3C6JR6CT6EG188794,25047A,"$32,195.00 ",2014,RAM,1500,0,BMO HARRIS BANK NA,5/6/2014 0:00,Used Vehicle,Finance,"$32,195.00 "
62556,1FTFW1EF1BKD75866,D2355A,"$22,990.00 ",2011,FORD,F-150,36000,CHRYSLER CAPITAL,11/26/2019 0:00,Used Vehicle,Finance,"$21,500.00 "
62363,2C3CDZBG9FH804709,89083B,"$18,990.00 ",2015,DODGE,CHALLENGER,0,1st MID AMERICA,6/15/2019 0:00,Used Vehicle,Finance,"$17,813.00 "
62704-4355,KNDCC3LC5K5222065,K3063,"$27,384.00 ",2019,KIA,NIRO,75000,KIA MOTORS FINANCE,12/7/2018 0:00,New Vehicle,Finance,"$25,684.00 "
62563,4S4BSAFC0J3397635,46281,"$31,880.00 ",2018,SUBARU,OUTBACK,100000,,8/22/2018 0:00,New Vehicle,Cash,"$30,076.00 "
62707-9358,1C6RR7VT0GS259795,28011M,"$46,990.00 ",2016,RAM,1500 (5.7L),999999,HEARTLAND CREDIT UNION,2/2/2017 0:00,Used Vehicle,Finance,"$44,000.00 "
62702,5XXGT4L35KG280566,K3013,"$26,095.00 ",2019,KIA,OPTIMA,75000,HEARTLAND CREDIT UNION,5/1/2019 0:00,New Vehicle,Finance,"$25,049.00 "
62684,1C3CDZABXCN174773,88069,"$14,858.00 ",2012,DODGE,AVENGER,0,CHRYSLER CAPITAL,5/7/2013 0:00,Used Vehicle,Finance,"$14,858.00 "
62702-2021,1D7HA16D15J586828,19540A,"$14,990.00 ",2005,DODGE TRUCK,RAM P/U 1500,0,CONVERSION - DO NOT USE,9/3/2008 0:00,Used Vehicle,Cash,"$14,990.00 "
62704-5328,JF2GTAMC5K8297840,5227,"$30,485.00 ",2019,SUBARU,CROSSTREK,0,JP MORGAN CHASE BANK NA,4/19/2019 0:00,New Vehicle,Finance,"$28,503.00 "
62702-1820,3C4PDCAB4GT132566,27560,"$21,990.00 ",2016,DODGE,JOURNEY (2.4L),0,HEARTLAND CREDIT UNION,10/24/2015 0:00,New Vehicle,Finance,"$21,990.00 "
62702,KNDPNCAC0H7202429,K29258,"$30,125.00 ",2017,KIA,SPORTAGE,100000,CEFCU,3/8/2017 0:00,New Vehicle,Finance,"$28,855.00 "
62702-8423,3KPFL4A77HE123477,K3169A,"$15,990.00 ",2017,KIA,FORTE,80000,CEFCU,7/3/2018 0:00,Used Vehicle,Finance,"$11,625.06 "
62642,JF2SJAEC8HH420022,S1042A,"$24,990.00 ",2017,SUBARU,FORESTER,0,,12/3/2019 0:00,Used Vehicle,Cash,"$22,788.72 "
62703-4936,2C4RDGCG2KR511747,89101,"$25,990.00 ",2019,DODGE,GRAND CARAVAN (3.6L),75000,CEFCU,5/25/2019 0:00,Used Vehicle,Finance,"$23,270.00 "
62549,KNDCC3LC5H5092250,5088A,"$24,995.00 ",2017,KIA,NIRO,75000,ALLY FINANCIAL,3/9/2019 0:00,Used Vehicle,Finance,"$18,890.00 "
62650-6560,4S4BSAKC2H3217927,45807A,"$29,990.00 ",2017,SUBARU,OUTBACK,36000,HEARTLAND CREDIT UNION,1/18/2018 0:00,Used Vehicle,Finance,"$25,922.00 "
62704-1703,4S4BSBNC0G3297065,45114,"$35,115.00 ",2016,SUBARU,OUTBACK,0,US BANK NA,2/15/2016 0:00,Used Vehicle,Finance,"$35,115.00 "
62703-5208,2C4RDGCG7CR330225,23455,"$27,335.00 ",2012,DODGE,GRAND CARAVAN (3.6L),0,US BANK NA,5/7/2012 0:00,New Vehicle,Finance,"$27,335.00 "
62629,JF2SKACC2KH562387,5400,"$26,120.00 ",2019,SUBARU,FORESTER,75000,CEFCU,7/31/2019 0:00,New Vehicle,Finance,"$24,058.00 "
62711,4S4BSANC2K3326343,5242,"$36,612.00 ",2019,SUBARU,OUTBACK,0,JP Morgan Chase,7/25/2019 0:00,New Vehicle,Lease,"$33,960.00 "
62522,JF2SJAGC3HH439610,45334,"$27,000.00 ",2017,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,9/6/2016 0:00,Used Vehicle,Finance,"$27,000.00 "
62704-3725,JF2SJABC1HH576214,45657,"$25,551.00 ",2017,SUBARU,FORESTER,75000,,5/11/2017 0:00,Used Vehicle,Cash,"$24,717.43 "
62711,5FPYK3F77JB003460,S1104A,"$33,229.00 ",2018,HONDA,RIDGELINE,0,,1/14/2020 0:00,Used Vehicle,Cash,"$33,229.00 "
62711,4S4BSANC1J3353984,46194,"$36,621.00 ",2018,SUBARU,OUTBACK,0,,5/9/2018 0:00,New Vehicle,Cash,"$34,201.17 "
62712,JF2SH64679H796622,40874,"$26,000.00 ",2009,SUBARU,FORESTER 2.5X,0,CONVERSION - DO NOT USE,6/20/2009 0:00,Used Vehicle,Cash,"$26,000.00 "
62670,JF2GTADC7JH288040,46103,"$26,818.00 ",2018,SUBARU,CROSSTREK,75000,CEFCU,4/9/2018 0:00,Used Vehicle,Finance,"$25,178.00 "
62650,3GTU2VEC1FG154300,D2331B,"$33,990.00 ",2015,GMC,SIERRA 1500,36000,CEFCU,11/21/2019 0:00,Used Vehicle,Finance,"$29,500.00 "
62675,1C6RR7PMXFS728492,26812,"$53,440.00 ",2015,RAM,1500 DIESEL (3.0L),0,US BANK NA,6/27/2015 0:00,New Vehicle,Finance,"$53,440.00 "
62629,JF2SJAKC0GH493467,S1086A,"$30,764.00 ",2016,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,3/11/2016 0:00,Used Vehicle,Finance,"$30,764.00 "
62711-6769,1C4RDJDGXGC341004,88583,"$45,740.00 ",2016,DODGE,DURANGO,75000,CEFCU,10/29/2016 0:00,Used Vehicle,Finance,"$33,217.00 "
62711-6199,KNDCC3LC8H5059873,K29350,"$26,915.00 ",2017,KIA,NIRO,0,,4/28/2017 0:00,Used Vehicle,Cash,"$26,010.00 "
62702,KNDJT2A58C7429139,K27366,"$16,995.00 ",2012,KIA,SOUL,0,KIA MOTORS FINANCE,3/10/2012 0:00,New Vehicle,Finance,"$16,995.00 "
62521,3GNFK12357G145906,2188A,"$13,990.00 ",2007,CHEVROLET,AVALANCHE,0,CEFCU,6/15/2019 0:00,Used Vehicle,Finance,"$9,944.00 "
62702-2140,3C6RR7LT2HG709135,29327,"$49,838.00 ",2017,RAM,1500 (5.7L),0,CEFCU,12/19/2017 0:00,New Vehicle,Finance,"$46,835.00 "
62704,JF2GTACCXK8232242,4070,"$25,698.00 ",2019,SUBARU,CROSSTREK,0,,3/11/2019 0:00,New Vehicle,Cash,"$23,869.85 "
62688-9544,4S4BRCCC2B3333044,43992A,"$21,208.00 ",2011,SUBARU,OUTBACK 2.5I,0,CONVERSION - DO NOT USE,2/27/2013 0:00,Used Vehicle,Cash,"$21,208.00 "
62702,1C6RD6FT9CS307196,23626,"$30,959.00 ",2012,DODGE TRUCK,RAM 1500,0,US BANK NA,2/7/2013 0:00,New Vehicle,Finance,"$30,959.00 "
62629-5025,4S4BSANC2H3218426,45309,"$36,481.00 ",2017,SUBARU,OUTBACK,0,JP MORGAN CHASE BANK NA,8/20/2016 0:00,Used Vehicle,Finance,"$34,631.00 "
60441,4S4BSANC2J3300002,46139,"$36,522.00 ",2018,SUBARU,OUTBACK,75000,JP MORGAN CHASE BANK NA,3/31/2018 0:00,New Vehicle,Finance,"$33,999.00 "
62688,1C4NJPFA9GD502391,K29590A,"$20,990.00 ",2016,JEEP,PATRIOT (2.0L),0,,8/11/2018 0:00,Used Vehicle,Cash,"$19,018.00 "
62702-4652,JF2SJAJC6HH494531,45570,"$31,020.00 ",2017,SUBARU,FORESTER,75000,JP MORGAN CHASE BANK NA,1/28/2017 0:00,Used Vehicle,Finance,"$29,017.00 "
62638,1GCGTDE3XG1123566,29838A,"$29,990.00 ",2016,CHEVROLET,COLORADO,75000,HEARTLAND CREDIT UNION,7/7/2018 0:00,Used Vehicle,Finance,"$28,130.00 "
62702,JF2SHBEC9BH700668,44555A,"$22,703.00 ",2011,SUBARU,FORESTER,0,HEARTLAND CREDIT UNION,10/6/2014 0:00,New Vehicle,Finance,"$22,703.00 "
62629-8810,1C4RDJEG8EC349453,25293,"$44,648.00 ",2014,DODGE TRUCK,DURANGO,0,PNC BANK NA,1/10/2014 0:00,New Vehicle,Finance,"$44,648.00 "
62704,1C6RR7FTXES419032,25838,"$36,515.00 ",2014,DODGE TRUCK,RAM 1500,0,ALLY,12/1/2014 0:00,New Vehicle,Lease,"$36,300.00 "
62711,JF2SJATC3HH406953,5170A,"$27,990.00 ",2017,SUBARU,FORESTER,75000,HEARTLAND CREDIT UNION,5/4/2019 0:00,Used Vehicle,Finance,"$22,994.00 "
62694-1278,KNDPBCAC1F7779797,K28740,"$24,044.57 ",2015,KIA,SPORTAGE,0,CONVERSION - DO NOT USE,5/8/2015 0:00,Used Vehicle,Cash,"$24,044.57 "
62711-7972,4S4BSBFC3F3251761,44624,"$27,994.00 ",2015,SUBARU,OUTBACK,0,CONVERSION - DO NOT USE,11/6/2014 0:00,Used Vehicle,Cash,"$27,994.00 "
62703-2929,NMTKHMBX5JR006831,29987A,"$22,990.00 ",2018,TOYOTA,C-HR,75000,1st MID AMERICA,9/25/2018 0:00,Used Vehicle,Finance,"$21,230.00 "
62557,4S4BSATC8K3274039,5108,"$38,901.00 ",2019,SUBARU,OUTBACK,75000,,12/31/2018 0:00,Used Vehicle,Cash,"$35,845.00 "
62092,1C4RDJDG1JC255653,29704,"$50,260.00 ",2018,DODGE,DURANGO,0,,11/7/2018 0:00,New Vehicle,Cash,"$47,318.00 "
62618-7802,2C4RC1BG1JR142282,89031,"$26,990.00 ",2018,CHRYSLER,PACIFICA,75000,HEARTLAND CREDIT UNION,2/25/2019 0:00,Used Vehicle,Finance,"$25,927.00 "
62707-8477,3D4GH57VX9T604311,K25882A,"$19,000.00 ",2009,DODGE,JOURNEY,0,US BANK NA,9/20/2011 0:00,New Vehicle,Finance,"$19,000.00 "
62704-3460,4S4BSANC1J3285556,S1084A,"$36,733.00 ",2018,SUBARU,OUTBACK,0,,12/23/2017 0:00,Used Vehicle,Cash,"$34,215.00 "
62650,5XYPHDA58KG539701,K3199,"$42,475.00 ",2019,KIA,SORENTO,0,HEARTLAND CREDIT UNION,3/15/2019 0:00,New Vehicle,Finance,"$40,389.00 "
62702-4658,KNDJF723457106744,K2929AA,"$6,990.00 ",2005,KIA,SPORTAGE,36000,1st MID AMERICA,2/24/2017 0:00,Used Vehicle,Finance,"$5,584.00 "
62650,JF1VA1A69K9812817,5027,"$28,357.00 ",2019,SUBARU,WRX,0,JP MORGAN CHASE BANK NA,5/25/2019 0:00,New Vehicle,Finance,"$26,462.00 "
62568,JF2GTAMC2K8327764,5327,"$29,048.00 ",2019,SUBARU,CROSSTREK,0,,6/7/2019 0:00,New Vehicle,Cash,"$27,614.32 "
62704-4964,JF2GTACC3J8271124,46023,"$26,823.00 ",2018,SUBARU,CROSSTREK,75000,1st MID AMERICA,3/7/2018 0:00,Used Vehicle,Finance,"$32,405.76 "
62702-2514,KNDJN2A21F7177822,K28716,"$17,604.00 ",2015,KIA,SOUL,0,KIA MOTORS FINANCE,5/28/2015 0:00,Used Vehicle,Finance,"$17,604.00 "
62703-4476,4S3BNAA63J3010329,45854,"$23,055.00 ",2018,SUBARU,LEGACY,75000,JP MORGAN CHASE BANK NA,11/4/2017 0:00,Used Vehicle,Finance,"$21,839.00 "
62712,4S3BNAN67K3028330,5208,"$32,887.00 ",2019,SUBARU,LEGACY,0,,5/22/2019 0:00,New Vehicle,Cash,"$30,186.00 "
62703-5819,1C6RR7NM7JS255842,89325,"$39,990.00 ",2018,RAM,1500,75000,HEARTLAND CREDIT UNION,12/6/2019 0:00,Used Vehicle,Finance,"$36,975.00 "
62704-5319,1C6RR6FG2JS127432,29588,"$34,789.00 ",2018,RAM,1500,75000,CEFCU,3/21/2018 0:00,New Vehicle,Finance,"$33,750.00 "
62650,3C6JR6DG9HG783029,29422,"$30,674.00 ",2017,RAM,1500,75000,AMERICREDIT FINANCIAL SERVICES INC,9/8/2017 0:00,New Vehicle,Finance,"$30,674.00 "
62675-6715,1C6RR7TT3JS168580,88878,"$36,990.00 ",2018,RAM,1500 (5.7L),72000,,7/30/2018 0:00,Used Vehicle,Cash,"$33,179.00 "
62049-2205,JF2GTADC5J8240794,45927,"$27,684.00 ",2018,SUBARU,CROSSTREK,75000,1st MID AMERICA,11/30/2017 0:00,Used Vehicle,Finance,"$27,684.00 "
62650-3046,KNDJT2A66C7375087,K27237,"$18,590.00 ",2012,KIA,SOUL,0,KIA MOTORS FINANCE,12/27/2011 0:00,Used Vehicle,Finance,"$18,590.00 "
62703-3760,2G1FA1EV9A9186252,26906C,"$14,573.57 ",2010,CHEVROLET,CAMARO,0,CHRYSLER CAPITAL,10/22/2015 0:00,Used Vehicle,Finance,"$14,573.57 "
62702-4520,1D7HA16KX7J592855,29606A,"$8,500.00 ",2007,DODGE,RAM 1500 (3.7L),36000,STALEY CREDIT UNION,5/17/2018 0:00,Used Vehicle,Finance,"$8,500.00 "
62704-5520,5XYPG4A57JG398170,K29499,"$33,354.00 ",2018,KIA,SORENTO,75000,CEFCU,10/21/2017 0:00,Used Vehicle,Finance,"$32,036.00 "
62661-0472,KNDMB5C15G6113351,K28970,"$30,590.00 ",2016,KIA,SEDONA,0,HEARTLAND CREDIT UNION,12/11/2015 0:00,Used Vehicle,Finance,"$30,590.00 "
62681,4S4BSAHC5H3372091,45622,"$32,831.00 ",2017,SUBARU,OUTBACK,75000,JP MORGAN CHASE BANK NA,7/28/2017 0:00,Used Vehicle,Finance,"$31,296.00 "
62704-4135,JF2SJAHC9EH452968,44118,"$29,533.00 ",2014,SUBARU,FORESTER 2.5I,0,CONVERSION - DO NOT USE,9/7/2013 0:00,Used Vehicle,Cash,"$28,378.00 "
62704-3518,4S4BRCLC5D3262683,43967,"$30,987.00 ",2013,SUBARU,OUTBACK 2.5I,60011,JP MORGAN CHASE BANK NA,12/27/2012 0:00,Used Vehicle,Finance,"$30,987.00 "
62615,2C4JRGAGXDR608294,24193,"$23,222.00 ",2013,DODGE TRUCK,RAM CARGO VAN,0,CONVERSION - DO NOT USE,8/2/2013 0:00,New Vehicle,Cash,"$23,222.00 "
62684-8076,1C6SRFFT4KN546400,20013,"$53,988.00 ",2019,RAM,1500,0,ILLINOIS EDUCATORS CREDIT UNION,8/29/2019 0:00,New Vehicle,Finance,"$50,885.00 "
62650-2702,4S4BSATC5J3319534,46089,"$38,609.00 ",2018,SUBARU,OUTBACK,0,JP MORGAN CHASE BANK NA,5/23/2018 0:00,Used Vehicle,Finance,"$35,832.00 "
62520,1N4AL3AP9DC904741,29597C,"$6,992.00 ",2013,NISSAN,ALTIMA,36000,CEFCU,5/10/2019 0:00,Used Vehicle,Finance,"$6,992.00 "
62702-1326,2C4RDGEG1FR512312,26306,"$30,454.00 ",2015,DODGE,GRAND CARAVAN (3.6L),75000,CHRYSLER CAPITAL,11/7/2014 0:00,Used Vehicle,Finance,"$30,454.00 "
62613,1C6SRFJT4KN773707,D2390,"$53,985.00 ",2019,RAM,1500 (5.7L),0,CHRYSLER CAPITAL,11/22/2019 0:00,New Vehicle,Finance,"$47,447.00 "
62704-3449,JF2SJARC3HH431651,45321,"$33,690.00 ",2017,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,8/20/2016 0:00,Used Vehicle,Finance,"$31,129.00 "
62702-1153,KNDJN2A28G7263209,K28995,"$17,400.00 ",2016,KIA,SOUL,0,KIA MOTORS FINANCE,5/20/2016 0:00,New Vehicle,Finance,"$17,400.00 "
62693,KNAGM4A70F5572880,K28655,"$21,505.00 ",2015,KIA,OPTIMA,60000,PNC BANK NA,6/30/2015 0:00,New Vehicle,Finance,"$21,505.00 "
62711-5688,5NPE24AF3FH167684,K29617B,"$16,990.00 ",2015,HYUNDAI,SONATA,75506,HEARTLAND CREDIT UNION,6/9/2018 0:00,Used Vehicle,Finance,"$14,438.00 "
62518-6045,2C3CDZGG8JH205334,29643,"$35,634.00 ",2018,DODGE,CHALLENGER,75000,1st MID AMERICA,1/27/2018 0:00,New Vehicle,Finance,"$35,092.00 "
62711-6770,JF2SJAJC1HH586081,45691,"$31,069.00 ",2017,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,8/26/2017 0:00,Used Vehicle,Finance,"$28,499.00 "
62707-4605,5XXGR4A66FG397400,K28571,"$29,995.00 ",2015,KIA,OPTIMA,0,US BANK NA,2/24/2015 0:00,Used Vehicle,Finance,"$29,995.00 "
62615,1C6RR7NT2JS137205,29552M,"$52,080.00 ",2018,RAM,1500,0,CEFCU,5/23/2018 0:00,Used Vehicle,Finance,"$40,000.00 "
