,MSRP,Year,Make,Model,Purchase Date,Sales Type,Purchase Type,Sale Price,Warranty Miles,Zipcode,Model Type
15183,"$9,476.00 ",2010,SUBARU,OUTBACK,2/27/2020 0:00,Used Vehicle,Finance,"$9,491.94 ",0,62675,SUV
15184,"$20,404.00 ",2020,KIA,SOUL LX AUTO,2/27/2020 0:00,New Vehicle,Finance,"$28,901.00 ",0,62702,COMPACT SEDAN
15185,"$27,090.00 ",2019,DODGE,JOURNEY,2/27/2020 0:00,New Vehicle,Finance,"$26,990.00 ",1,62032,SUV
15186,"$17,694.00 ",2020,KIA,RIO,2/27/2020 0:00,New Vehicle,Finance,"$17,694.00 ",1,62526,COMPACT SEDAN
15187,"$13,645.00 ",2019,OTHER,VERSA SEDAN,2/28/2020 0:00,Used Vehicle,Finance,"$13,645.00 ",0,62704,COMPACT SEDAN
15188,"$44,324.00 ",2020,SUBARU,ASCENT,2/28/2020 0:00,New Vehicle,Cash,"$41,661.00 ",0,62539,SUV
15189,"$21,864.00 ",2020,KIA,SOUL,2/28/2020 0:00,New Vehicle,Cash,"$20,548.82 ",0,62711,COMPACT SUV
15190,"$4,994.00 ",2010,OTHER,CAMRY,2/28/2020 0:00,Used Vehicle,Finance,"$6,500.00 ",0,62521,MID-SIZE SEDAN
15191,"$39,870.00 ",2020,SUBARU,OUTBACK,2/28/2020 0:00,New Vehicle,Finance,"$36,750.00 ",1,62703,SUV
15192,"$25,759.00 ",2017,OTHER,PACIFICA,2/28/2020 0:00,Used Vehicle,Finance,"$25,759.00 ",0,62563,VAN
15193,"$15,361.00 ",2009,OTHER,F-150,2/28/2020 0:00,Used Vehicle,Finance,"$15,361.00 ",0,62638,TRUCK
15194,"$11,651.00 ",2013,OTHER,200,2/29/2020 0:00,Used Vehicle,Finance,"$12,326.00 ",1,61525,MID-SIZE SEDAN
15195,"$29,325.00 ",2020,SUBARU,FORESTER,2/29/2020 0:00,New Vehicle,Cash,"$27,326.00 ",0,62684,COMPACT SUV
15196,"$33,104.00 ",2020,SUBARU,FORESTER,2/29/2020 0:00,New Vehicle,Finance,"$31,638.00 ",1,62704,COMPACT SUV
15197,"$25,299.00 ",2013,OTHER,SIERRA 1500 4WD,2/29/2020 0:00,Used Vehicle,Finance,"$28,295.00 ",1,62515,TRUCK
15198,"$25,234.00 ",2019,KIA,OPTIMA,2/29/2020 0:00,New Vehicle,Finance,"$20,663.00 ",1,62703,MID-SIZE SEDAN
15199,"$37,805.00 ",2020,SUBARU,ASCENT,2/29/2020 0:00,New Vehicle,Finance,"$34,300.00 ",1,62347,SUV
15200,"$9,994.00 ",2011,OTHER,EXPLORER,2/29/2020 0:00,Used Vehicle,Finance,"$9,995.00 ",0,62702,SUV
15201,"$14,845.00 ",2018,OTHER,CRUZE,2/29/2020 0:00,Used Vehicle,Finance,"$15,995.00 ",1,62681,COMPACT SEDAN
15202,"$26,250.00 ",2019,SUBARU,FORESTER,11/3/2018 0:00,New Vehicle,Cash,"$24,103.00 ",0,61802,COMPACT SUV
15203,"$12,990.00 ",2016,OTHER,SENTRA,11/3/2018 0:00,Used Vehicle,Finance,"$11,060.00 ",1,61723,COMPACT SEDAN
15204,$145.00 ,2002,OTHER,SILVERADO 1500,11/5/2018 0:00,Used Vehicle,Cash,$145.00 ,0,62075,TRUCK
15205,"$52,234.00 ",2019,RAM,1500,11/5/2018 0:00,New Vehicle,Cash,"$47,074.06 ",0,62603,TRUCK
15206,"$6,990.00 ",2006,OTHER,IMPALA,11/6/2018 0:00,Used Vehicle,Cash,"$5,903.00 ",0,62650,MID-SIZE SEDAN
15207,"$12,990.00 ",2013,KIA,OPTIMA,11/6/2018 0:00,Used Vehicle,Finance,"$11,699.00 ",0,62539,MID-SIZE SEDAN
15208,"$15,990.00 ",2011,OTHER,CTS,11/8/2018 0:00,Used Vehicle,Finance,"$14,800.00 ",1,61614,SPORTS CAR
15209,"$31,843.00 ",2018,DODGE,CHALLENGER,11/8/2018 0:00,New Vehicle,Finance,"$31,843.00 ",1,62702,SPORTS CAR
15210,"$29,467.00 ",2019,SUBARU,FORESTER,11/10/2018 0:00,New Vehicle,Finance,"$27,779.00 ",1,63114,COMPACT SUV
15211,"$25,990.00 ",2018,DODGE,CHARGER,11/10/2018 0:00,Used Vehicle,Finance,"$21,930.83 ",1,62301,MID-SIZE SEDAN
15212,"$33,031.00 ",2019,SUBARU,FORESTER,11/13/2018 0:00,New Vehicle,Cash,"$30,794.00 ",0,29223,COMPACT SUV
15213,"$6,990.00 ",2003,OTHER,SILVERADO 1500,11/13/2018 0:00,Used Vehicle,Cash,"$3,700.00 ",0,62693,TRUCK
15214,"$3,950.00 ",2008,OTHER,VERSA,11/13/2018 0:00,Used Vehicle,Cash,"$3,950.00 ",0,62703,COMPACT SEDAN
15215,"$30,990.00 ",2012,DODGE,CHALLENGER,3/14/2019 0:00,Used Vehicle,Finance,"$26,685.30 ",1,62650,SPORTS CAR
15216,"$15,990.00 ",2018,KIA,SOUL,3/15/2019 0:00,Used Vehicle,Finance,"$14,359.00 ",0,61802,COMPACT SUV
15217,"$18,253.00 ",2019,KIA,SOUL,3/15/2019 0:00,New Vehicle,Finance,"$18,253.00 ",0,62628,COMPACT SUV
15218,"$31,069.00 ",2019,SUBARU,OUTBACK,3/16/2019 0:00,New Vehicle,Finance,"$29,000.00 ",0,61614,SUV
15219,"$4,990.00 ",2009,OTHER,VIBE,3/16/2019 0:00,Used Vehicle,Finance,"$3,870.00 ",0,62661,COMPACT SEDAN
15220,"$20,990.00 ",2018,DODGE,GRAND CARAVAN,3/16/2019 0:00,Used Vehicle,Finance,"$19,818.00 ",0,62650,VAN
15221,"$15,990.00 ",2003,OTHER,SILVERADO 2500,3/18/2019 0:00,Used Vehicle,Finance,"$13,000.00 ",0,62431,TRUCK
15222,"$34,451.00 ",2017,SUBARU,FORESTER,3/20/2019 0:00,Used Vehicle,Finance,"$28,892.00 ",1,62650,COMPACT SUV
15223,"$26,544.00 ",2019,KIA,OPTIMA,3/21/2019 0:00,New Vehicle,Finance,"$22,474.00 ",1,62702,MID-SIZE SEDAN
15224,"$5,990.00 ",2007,OTHER,ACCORD,3/22/2019 0:00,Used Vehicle,Cash,"$3,547.01 ",0,62521,MID-SIZE SEDAN
15225,"$41,760.00 ",2020,KIA,TELLURIDE,5/25/2019 0:00,New Vehicle,Finance,"$41,760.00 ",0,61482,SUV
15226,"$29,884.00 ",2019,DODGE,GRAND CARAVAN,5/25/2019 0:00,New Vehicle,Cash,"$28,666.00 ",0,62515,VAN
15227,"$7,990.00 ",2009,OTHER,ALTIMA,5/25/2019 0:00,Used Vehicle,Finance,"$5,000.00 ",0,62712,MID-SIZE SEDAN
15228,"$8,990.00 ",2010,OTHER,SANTA FE,5/25/2019 0:00,Used Vehicle,Finance,"$8,443.00 ",1,62703,SUV
15229,"$4,990.00 ",2004,OTHER,CENTURY,5/25/2019 0:00,Used Vehicle,Cash,"$3,000.00 ",0,62712,MID-SIZE SEDAN
15230,"$27,990.00 ",2019,DODGE,CHALLENGER,5/27/2019 0:00,Used Vehicle,Finance,"$26,633.00 ",1,62707,SPORTS CAR
15231,"$22,990.00 ",2015,DODGE,DURANGO (3.6L),5/27/2019 0:00,Used Vehicle,Finance,"$21,900.00 ",1,62655,SUV
15232,"$24,990.00 ",2008,DODGE,RAM 2500 DIESEL (6.7L),5/28/2019 0:00,Used Vehicle,Finance,"$21,998.00 ",0,63010,TRUCK
15233,"$30,990.00 ",2015,OTHER,SILVERADO 1500,5/28/2019 0:00,Used Vehicle,Finance,"$29,000.00 ",0,62684,TRUCK
15234,"$30,990.00 ",2010,DODGE,RAM 2500,5/28/2019 0:00,Used Vehicle,Finance,"$29,769.00 ",1,62630,TRUCK
15235,"$52,589.00 ",2019,DODGE,CHALLENGER,5/29/2019 0:00,New Vehicle,Lease,"$49,311.00 ",0,50621,SPORTS CAR
15236,"$9,990.00 ",2009,OTHER,ODYSSEY,5/29/2019 0:00,Used Vehicle,Finance,"$7,835.00 ",0,62702,VAN
15237,"$25,990.00 ",2019,KIA,SORENTO,5/29/2019 0:00,Used Vehicle,Finance,"$22,969.00 ",0,61856,SUV
15238,"$22,685.00 ",2020,KIA,SOUL,5/30/2019 0:00,New Vehicle,Finance,"$22,821.00 ",0,62704,COMPACT SUV
15239,"$20,115.00 ",2019,KIA,FORTE LXS,5/30/2019 0:00,New Vehicle,Lease,"$19,250.00 ",0,62703,COMPACT SEDAN
15240,"$46,997.00 ",2019,SUBARU,ASCENT,5/30/2019 0:00,New Vehicle,Cash,"$42,967.00 ",1,62656,SUV
15241,"$24,990.00 ",2017,SUBARU,OUTBACK,7/31/2019 0:00,Used Vehicle,Cash,"$23,336.00 ",1,62626,SUV
